Course,Credit Hours,Prerequisite,Corequisite
BUS200,3,None,None
CGS392,1,ENGL214,None
CHEM101,4,None,None
COE202,3,PHYS102,None
COE203,1,None,COE202
COE233,3,ICS104,None
COE292,3,ISE291,None
COE301,4,COE202,None
ENGL101,3,None,None
ENGL102,3,ENGL101,None
ENGL214,3,ENGL102,None
IAS111,2,None,None
IAS121,2,None,None
IAS212,2,None,None
ICS104,3,None,None
ICS108,4,ICS104,None
ICS202,4,ICS108,None
ICS253,3,ICS104,None
ICS321,3,ICS202,None
ICS343,4,ICS108,None
ICS344,3,ICS343,None
ICS353,3,ICS253,None
ICS381,3,ICS253,STAT319
ICS399,0,None,None
ICS410,3,ICS202,None
ICS411,3,ICS399,None
ICS433,3,COE233,None
ICS433,3,COE301,None
ISE291,3,ICS104;MATH102,None
MATH101,4,None,None
MATH102,4,MATH101,None
MATH201,3,MATH102,None
MATH208,3,MATH102,None
PE101,1,None,None
PHYS101,4,None,MATH101
PHYS102,4,PHYS101,MATH102
STAT319,3,MATH102,None
SWE206,3,ICS108,None
SWE216,3,SWE206,None
SWE316,3,SWE206,None
SWE326,3,SWE216,None
SWE363,3,None,None
SWE387,3,None,None
SWE399,0,ENGL214;SWE363,None
SWE411,3,SWE387,None
SWE412,2,SWE411,None
SWE439,3,STAT319;SWE316,None
